"";"Site";"Roadverge";"Traffic";"Behaviour";"behaviour.count"
"1";"Arlanda";"SR";829;"dead";5
"2";"Arlanda";"SR";829;"foraging";12
"3";"Arlanda";"SR";829;"nesting";6
"4";"Arlanda";"SR";829;"passing";3
"5";"Aspön";"SR";5675;"dead";19
"6";"Aspön";"SR";5675;"foraging";2
"7";"Aspön";"SR";5675;"nesting";4
"8";"Björklinge";"SP";247;"dead";6
"9";"Björklinge";"SP";247;"fake dead";1
"10";"Björklinge";"SP";247;"foraging";23
"11";"Björklinge";"SP";247;"nesting";16
"12";"Enköping";"SP";841;"dead";26
"13";"Enköping";"SP";841;"foraging";2
"14";"Enköping";"SP";841;"nesting";5
"15";"Gottröra";"SP";3718;"dead";8
"16";"Gottröra";"SP";3718;"foraging";3
"17";"Gottröra";"SP";3718;"passing";2
"18";"Hargshamn";"SR";1726;"dead";2
"19";"Hargshamn";"SR";1726;"foraging";17
"20";"Hargshamn";"SR";1726;"nesting";1
"21";"Häggeby";"SR";3312;"dead";11
"22";"Häggeby";"SR";3312;"foraging";1
"23";"Häggeby";"SR";3312;"nesting";7
"24";"Häggeby";"SR";3312;"passing";1
"25";"Knutby";"SR";373;"dead";2
"26";"Knutby";"SR";373;"foraging";13
"27";"Knutby";"SR";373;"nesting";4
"28";"Rimbo";"SP";939;"dead";7
"29";"Rimbo";"SP";939;"foraging";11
"30";"Rimbo";"SP";939;"passing";1
"31";"Rovsättra";"SR";267;"foraging";16
"32";"Sigtuna";"SR";6356;"dead";3
"33";"Sigtuna";"SR";6356;"foraging";4
"34";"Sigtuna";"SR";6356;"nesting";4
"35";"Skogs-Tibble";"SP";158;"dead";2
"36";"Skogs-Tibble";"SP";158;"foraging";6
"37";"Skogs-Tibble";"SP";158;"nesting";15
"38";"Skogs-Tibble";"SP";158;"passing";4
"39";"Skutskär";"SR";930;"dead";4
"40";"Skutskär";"SR";930;"foraging";5
"41";"Skutskär";"SR";930;"nesting";6
"42";"Skutskär";"SR";930;"overwintering";1
"43";"Skutskär";"SR";930;"passing";1
"44";"Skärplinge";"SR";570;"dead";9
"45";"Skärplinge";"SR";570;"foraging";7
"46";"Skärplinge";"SR";570;"nesting";5
"47";"Skärplinge";"SR";570;"passing";1
"48";"Strängnäs";"SP";372;"dead";3
"49";"Strängnäs";"SP";372;"foraging";3
"50";"Strängnäs";"SP";372;"nesting";11
"51";"Strängnäs";"SP";372;"passing";1
"52";"Tierp";"SR";125;"dead";2
"53";"Tierp";"SR";125;"foraging";9
"54";"Tierp";"SR";125;"nesting";2
"55";"Tosterön";"SP";5764;"dead";9
"56";"Tosterön";"SP";5764;"foraging";1
"57";"Upplands-Väsby";"SP";6168;"dead";6
"58";"Upplands-Väsby";"SP";6168;"foraging";12
"59";"Vänge";"SP";562;"dead";1
"60";"Vänge";"SP";562;"foraging";5
"61";"Vänge";"SP";562;"nesting";9
"62";"Vänge";"SP";562;"passing";1
"63";"Östhammar";"SP";1662;"dead";6
"64";"Östhammar";"SP";1662;"fake dead";1
"65";"Östhammar";"SP";1662;"foraging";3
"66";"Östhammar";"SP";1662;"nesting";2
